,HOOD,Neighbourhood Number,"Population, 2016",Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Highlight
53,Danforth Village - East York,59,17180,43.6864333,-79.30035550000001,2,Coffee Shop,Middle Eastern Restaurant,Caribbean Restaurant,Fish & Chips Shop,Skating Rink,Sandwich Place,Train Station,BBQ Joint,Pharmacy,Dance Studio,"Services (Banking, Hotels, Shopping)"
54,Don Valley Village,47,27051,43.7926732,-79.3547219,2,Coffee Shop,Sandwich Place,Bank,Pizza Place,Pharmacy,Grocery Store,Intersection,Discount Store,Farm,Event Space,"Services (Banking, Hotels, Shopping)"
55,Dorset Park,126,25003,43.7528467,-79.282067,2,Bowling Alley,Coffee Shop,Electronics Store,Beer Store,Chinese Restaurant,Clothing Store,Bakery,Indian Restaurant,Fast Food Restaurant,Accessories Store,"Services (Banking, Hotels, Shopping)"
56,Dufferin Grove,83,11785,43.65363189999999,-79.42643890000001,0,Bakery,Candy Store,Gastropub,Bar,Restaurant,Italian Restaurant,Portuguese Restaurant,Food,Whisky Bar,Eastern European Restaurant,Cafes/Bakeries/ Mediterranean
57,East End-Danforth,62,21381,43.6684402,-79.33067,2,Indie Theater,Pizza Place,Polish Restaurant,Coffee Shop,Mexican Restaurant,Bistro,Egyptian Restaurant,BBQ Joint,Burger Joint,Park,"Services (Banking, Hotels, Shopping)"
58,Edenbridge-Humber Valley,9,15535,43.6722234,-79.5146852,1,BBQ Joint,Hotel Pool,Indian Restaurant,Electronics Store,Garden,Park,Distribution Center,Fast Food Restaurant,Farmers Market,Farm,Outdoors/Fitness/Fast Food
59,Eglinton East,138,22776,43.7394646,-79.23209969999999,0,Ice Cream Shop,Restaurant,Indian Restaurant,Train Station,Sandwich Place,Diner,Farm,Event Space,Electronics Store,Egyptian Restaurant,Cafes/Bakeries/ Mediterranean
60,Elms-Old Rexdale,5,9456,43.7108139,-79.5653902,2,Pizza Place,Coffee Shop,Bank,Diner,Fast Food Restaurant,Restaurant,Asian Restaurant,Gas Station,Hardware Store,Egyptian Restaurant,"Services (Banking, Hotels, Shopping)"
61,Englemount-Lawrence,32,22372,43.7142417,-79.4370715,1,Coffee Shop,Shoe Store,Park,Bakery,Shopping Mall,Farmers Market,Farm,Event Space,Electronics Store,Egyptian Restaurant,Outdoors/Fitness/Fast Food
62,Etobicoke West Mall,13,11848,43.6435491,-79.5653253455361,2,Coffee Shop,Transportation Service,Convenience Store,Breakfast Spot,Bank,Restaurant,Grocery Store,Intersection,Farmers Market,Clothing Store,"Services (Banking, Hotels, Shopping)"
63,Flemingdon Park,44,21933,43.7184315,-79.33320400000001,2,Coffee Shop,Movie Theater,Gym / Fitness Center,Gym,Grocery Store,Pakistani Restaurant,Pharmacy,Japanese Restaurant,Fast Food Restaurant,Eastern European Restaurant,"Services (Banking, Hotels, Shopping)"
